,FECHA_DOC,PRECIO_UNITARIO,CVE_ART,COSTO_TOTAL_CALCULADO
0,2022-01-05,434.48,TUE00244,52.8
1,2022-01-05,1264.05,TUA00028,327.18
2,2022-01-05,551.61,TP0007,1243.73
3,2022-01-05,140.0,TP0001,38.96
4,2022-01-05,172.41,BP00242,203.42
5,2022-01-05,237.07,BP00243,98.82
6,2022-01-05,14000.0,RP00165,5323.76
7,2022-01-05,94.5,TP0001,116.88
8,2022-01-05,1615.0,TUE00207,517.89
9,2022-01-05,1615.0,TUE00207,517.89
10,2022-01-05,1615.0,TUE00207,517.89
11,2022-01-05,1615.0,TUE00207,586.32
12,2022-01-05,1615.0,TUE00207,586.32
13,2022-01-05,1485.25,BO00051,86.22
14,2022-01-05,2095.25,BC00023,742.05
15,2022-01-05,192.5,PT00070,397.08
16,2022-01-05,771.28,TP0011,248.0
17,2022-01-05,125.0,PJ31C1F1AA00,425.69
18,2022-01-05,821.3,WRE-2133,393.48
19,2022-01-05,821.3,WRE-2774,530.41
20,2022-01-05,496.35,WRE-4885,82.29
21,2022-01-07,938.53,MR01934,443.27
22,2022-01-07,718.52,PT00080,259.35
23,2022-01-07,898.25,PT00081,332.65
24,2022-01-07,1500.0,RP00150,0.72
25,2022-01-07,1848.0,TUA00009,3245.66
26,2022-01-07,485.0,TP0011,620.0
27,2022-01-07,375.0,TP0012,264.83
28,2022-01-07,2005.46,PT00044,978.77
29,2022-01-07,1299.32,BOBINA001,9163.18
30,2022-01-10,856.04,TUE00247,1771.42
31,2022-01-10,1299.32,BOBINA001,9163.18
32,2022-01-10,601.23,TUE00320,178.6
33,2022-01-11,150.5,PJ31A1F1A400,689.45
34,2022-01-11,215.96,PK31A1F1A400,783.24
35,2022-01-11,382.1,RP00172,5.76
36,2022-01-11,485.23,RP00173,45.01
37,2022-01-11,945.0,BN00232,289.05
38,2022-01-12,259.6,CBS00045,2594.17
39,2022-01-12,938.53,MR01934,161.73
40,2022-01-12,12720.0,TUE00321,4527.42
41,2022-01-12,619.21,TF71E1120A00,915.42
42,2022-01-12,505.08,BO00052,819.14
43,2022-01-12,1328.0,TUA00404,3980.31
44,2022-01-13,599.05,TEE00025,197.51
45,2022-01-14,803.0,TUS00049,140.29
46,2022-01-14,785.25,TUE00322,363.75
47,2022-01-14,615.85,TUE00323,499.77
48,2022-01-14,385.2,TUS00020,194.24
49,2022-01-14,2150.0,TUE00328,195.26
50,2022-01-17,531.0,TUS00003,426.47
51,2022-01-17,385.0,BB1 1/2X1/2-300W,220.0
52,2022-01-17,500.0,TP0008,211.36
53,2022-01-17,835.5,TUE00324,484.95
54,2022-01-17,895.5,TUE00325,471.13
55,2022-01-17,1264.25,TUE00326,319.8
56,2022-01-17,1264.25,TUE00327,313.8
57,2022-01-17,605.0,RB00010,178.8
58,2022-01-18,337.7,P7J6C1D1A030,4.02
59,2022-01-19,558.14,CS12E2040A00,138.46
60,2022-01-19,558.14,CS12E2040A00,138.46
61,2022-01-19,1412.0,BC00024,1668.42
62,2022-01-19,1188.0,BC00025,1343.05
63,2022-01-19,663.0,BP00241,574.91
64,2022-01-19,495.8,TP00016,316.8
65,2022-01-19,2177.5,TUA00258,2181.22
66,2022-01-19,505.23,BN00236,323.25
67,2022-01-19,985.1,BN00237,422.72
68,2022-01-20,2644.28,TUA00364,3182.95
69,2022-01-20,522.0,BP00245,102.76
70,2022-01-20,255.01,BP00244,291.72
71,2022-01-21,551.25,PK31B1I1A000,2408.67
72,2022-01-21,364.55,BP00051,52.48
73,2022-01-21,662.0,TUA00400,139.82
74,2022-01-21,1475.3,ECQ-00972,8264.95
75,2022-01-21,999.91,TU5/16X230MM,600.9
76,2022-01-24,1450.0,TUE00146,3726.73
77,2022-01-24,1450.0,BO00054,2162.98
78,2022-01-24,1450.0,BO00055,2027.79
79,2022-01-24,415.0,70001693,907.73
80,2022-01-24,272.0,TP0004,771.29
81,2022-01-24,1025.87,BE00010,231.15
82,2022-01-24,1587.25,BL00011,330.39
83,2022-01-24,2985.36,BL00052,771.42
84,2022-01-25,566.64,TUS00086,85.89
85,2022-01-25,431.5,TEA00058,1151.56
86,2022-01-25,528.3,TEA00059,1579.75
87,2022-01-25,1880.28,TEE00026,292.75
88,2022-01-25,150.0,TP0003,1425.02
89,2022-01-26,98.0,TP0001,38.96
90,2022-01-26,830.25,TUA00410,1090.0
91,2022-01-26,473.28,CS14B1010A00,27.08
92,2022-01-27,1659.6,TUA00350,436.54
93,2022-01-27,107.76,TP0001,38.96
94,2022-01-28,499.0,PK18J1F1A400,113.22
95,2022-01-28,900.0,RP00176,742.57
96,2022-01-28,1189.0,TUS00064,480.08
97,2022-01-28,1435.0,TUA00078,1108.78
98,2022-01-28,495.0,CS38E1017A00,134.84
99,2022-01-28,125.0,TP0003,71.25
100,2022-01-28,175.0,TP0025,75.89
101,2022-01-31,2625.5,PT00082,2428.6
102,2022-01-31,2464.2,54020219,2082.15
103,2022-01-31,2068.5,93980461,2597.36
104,2022-01-31,925.6,PJ14F10B0600,387.87
105,2022-01-31,1517.63,TUE00057,435.3
106,2022-01-31,498.85,TUE00331,97.52
107,2022-01-31,2629.5,BT00005,167.3
108,2022-01-31,535.09,RC00024,104.4
109,2022-01-31,1195.84,TUE00332,673.13
110,2022-01-31,1572.45,TUA00124,647.84
111,2022-01-31,2375.5,TUE00063,1744.19
112,2022-01-31,2080.85,TUE00129,898.7
113,2022-01-31,2118.0,TUE00008,406.61
114,2022-01-31,1250.0,TUA00401,281.94
115,2022-01-31,617.0,CAS00066,268.86
